Date,Ticker,Closing Price,Dividend Amount
2021-06-23,AGNC,17.06999969482422,0.0
2021-06-24,AGNC,17.149999618530273,0.0
2021-06-25,AGNC,17.219999313354492,0.0
2021-06-28,AGNC,17.200000762939453,0.0
2021-06-29,AGNC,16.799999237060547,0.12
2021-06-30,AGNC,16.889999389648438,0.0
2021-07-01,AGNC,17.010000228881836,0.0
2021-07-02,AGNC,16.940000534057617,0.0
2021-07-06,AGNC,16.860000610351562,0.0
2021-07-07,AGNC,16.65999984741211,0.0
2021-07-08,AGNC,16.530000686645508,0.0
2021-07-09,AGNC,16.889999389648438,0.0
2021-07-12,AGNC,16.8700008392334,0.0
2021-07-13,AGNC,16.360000610351562,0.0
2021-07-14,AGNC,16.1200008392334,0.0
2021-07-15,AGNC,16.15999984741211,0.0
2021-07-16,AGNC,16.1299991607666,0.0
2021-07-19,AGNC,15.84000015258789,0.0
2021-07-20,AGNC,16.25,0.0
2021-07-21,AGNC,16.43000030517578,0.0
2021-07-22,AGNC,16.200000762939453,0.0
2021-07-23,AGNC,16.1200008392334,0.0
2021-07-26,AGNC,16.18000030517578,0.0
2021-07-27,AGNC,16.18000030517578,0.0
2021-07-28,AGNC,16.1299991607666,0.0
2021-07-29,AGNC,16.18000030517578,0.12
2021-07-30,AGNC,15.869999885559082,0.0
2021-08-02,AGNC,15.899999618530273,0.0
2021-08-03,AGNC,15.819999694824219,0.0
2021-08-04,AGNC,15.739999771118164,0.0
2021-08-05,AGNC,15.890000343322754,0.0
2021-08-06,AGNC,16.010000228881836,0.0
2021-08-09,AGNC,16.030000686645508,0.0
2021-08-10,AGNC,16.1200008392334,0.0
2021-08-11,AGNC,16.270000457763672,0.0
2021-08-12,AGNC,16.350000381469727,0.0
2021-08-13,AGNC,16.34000015258789,0.0
2021-08-16,AGNC,16.270000457763672,0.0
2021-08-17,AGNC,16.290000915527344,0.0
2021-08-18,AGNC,16.209999084472656,0.0
2021-08-19,AGNC,15.899999618530273,0.0
2021-08-20,AGNC,16.09000015258789,0.0
2021-08-23,AGNC,16.280000686645508,0.0
2021-08-24,AGNC,16.420000076293945,0.0
2021-08-25,AGNC,16.440000534057617,0.0
2021-08-26,AGNC,16.290000915527344,0.0
2021-08-27,AGNC,16.530000686645508,0.0
2021-08-30,AGNC,16.229999542236328,0.12
2021-08-31,AGNC,16.309999465942383,0.0
2021-09-01,AGNC,16.31999969482422,0.0
2021-09-02,AGNC,16.219999313354492,0.0
2021-09-03,AGNC,16.18000030517578,0.0
2021-09-07,AGNC,15.979999542236328,0.0
2021-09-08,AGNC,15.869999885559082,0.0
2021-09-09,AGNC,16.020000457763672,0.0
2021-09-10,AGNC,16.010000228881836,0.0
2021-09-13,AGNC,16.079999923706055,0.0
2021-09-14,AGNC,15.930000305175781,0.0
2021-09-15,AGNC,15.960000038146973,0.0
2021-09-16,AGNC,15.960000038146973,0.0
2021-09-17,AGNC,15.979999542236328,0.0
2021-09-20,AGNC,15.90999984741211,0.0
2021-09-21,AGNC,16.020000457763672,0.0
2021-09-22,AGNC,16.209999084472656,0.0
2021-09-23,AGNC,16.219999313354492,0.0
2021-09-24,AGNC,16.15999984741211,0.0
2021-09-27,AGNC,16.239999771118164,0.0
2021-09-28,AGNC,16.1299991607666,0.0
2021-09-29,AGNC,15.970000267028809,0.12
2021-09-30,AGNC,15.770000457763672,0.0
2021-10-01,AGNC,15.899999618530273,0.0
2021-10-04,AGNC,16.06999969482422,0.0
2021-10-05,AGNC,16.049999237060547,0.0
2021-10-06,AGNC,15.949999809265137,0.0
2021-10-07,AGNC,16.020000457763672,0.0
2021-10-08,AGNC,16.1200008392334,0.0
2021-10-11,AGNC,16.170000076293945,0.0
2021-10-12,AGNC,16.200000762939453,0.0
2021-10-13,AGNC,16.139999389648438,0.0
2021-10-14,AGNC,16.190000534057617,0.0
2021-10-15,AGNC,16.219999313354492,0.0
2021-10-18,AGNC,16.34000015258789,0.0
2021-10-19,AGNC,16.5,0.0
2021-10-20,AGNC,16.59000015258789,0.0
2021-10-21,AGNC,16.600000381469727,0.0
2021-10-22,AGNC,16.549999237060547,0.0
2021-10-25,AGNC,16.540000915527344,0.0
2021-10-26,AGNC,16.510000228881836,0.0
2021-10-27,AGNC,16.3700008392334,0.0
2021-10-28,AGNC,15.800000190734863,0.12
2021-10-29,AGNC,15.920000076293945,0.0
2021-11-01,AGNC,16.18000030517578,0.0
2021-11-02,AGNC,15.930000305175781,0.0
2021-11-03,AGNC,15.989999771118164,0.0
2021-11-04,AGNC,16.010000228881836,0.0
2021-11-05,AGNC,16.219999313354492,0.0
2021-11-08,AGNC,16.1200008392334,0.0
2021-11-09,AGNC,16.06999969482422,0.0
2021-11-10,AGNC,16.020000457763672,0.0
2021-11-11,AGNC,16.0,0.0
2021-11-12,AGNC,16.040000915527344,0.0
2021-11-15,AGNC,16.020000457763672,0.0
2021-11-16,AGNC,16.040000915527344,0.0
2021-11-17,AGNC,15.9399995803833,0.0
2021-11-18,AGNC,15.949999809265137,0.0
2021-11-19,AGNC,15.979999542236328,0.0
2021-11-22,AGNC,16.040000915527344,0.0
